year,state,month_of_offense,fips_state_code,situation,additional_victim_count,additional_offender_count,victim_1_age,victim_2_age,victim_1_sex,victim_2_sex,victim_1_race,victim_2_race,victim_1_ethnic_origin,victim_2_ethnic_origin
2020,alaska,march,02,single victim/single offender,0,0,71,,female,,american indian or alaskan native,,unknown,
2020,alaska,june,02,single victim/multiple offenders,0,1,01,,male,,black,,not hispanic,
2020,alaska,november,02,single victim/single offender,0,0,39,,male,,white,,unknown,
2020,alaska,november,02,single victim/single offender,0,0,49,,male,,asian,,unknown,
2020,alaska,november,02,single victim/single offender,0,0,33,,male,,asian,,unknown,
2020,alaska,november,02,single victim/single offender,0,0,05,,male,,white,,unknown,
2020,alaska,november,02,single victim/single offender,0,0,38,,female,,american indian or alaskan native,,unknown,
2020,alaska,november,02,single victim/single offender,0,0,28,,male,,asian,,unknown,
2020,alaska,october,02,single victim/multiple offenders,0,4,43,,male,,white,,unknown,
2020,alaska,october,02,single victim/multiple offenders,0,1,48,,male,,black,,unknown,
2020,alaska,october,02,single victim/multiple offenders,0,2,19,,male,,black,,unknown,
2020,alaska,october,02,multiple victims/unknown offender(s),1,0,60,63,female,male,american indian or alaskan native,american indian or alaskan native,unknown,unknown
2020,alaska,december,02,single victim/multiple offenders,0,3,34,,male,,white,,unknown,
2020,alaska,december,02,single victim/multiple offenders,0,1,56,,male,,white,,unknown,
2020,alaska,september,02,single victim/unknown offender(s),0,0,56,,male,,asian,,unknown,
2020,alaska,july,02,single victim/single offender,0,0,23,,female,,black,,unknown,
2020,alaska,july,02,single victim/single offender,0,0,66,,male,,black,,unknown,
2020,alaska,may,02,single victim/single offender,0,0,19,,male,,black,,unknown,
2020,alaska,may,02,single victim/single offender,0,0,31,,male,,white,,unknown,
2020,alaska,april,02,single victim/single offender,0,0,27,,male,,asian,,unknown,
2020,alaska,february,02,single victim/single offender,0,0,16,,male,,asian,,unknown,
2020,alaska,may,02,single victim/single offender,0,0,38,,male,,american indian or alaskan native,,unknown,
2020,alaska,january,02,single victim/single offender,0,0,30,,female,,american indian or alaskan native,,not hispanic,
2020,alaska,may,02,single victim/single offender,0,0,23,,female,,white,,unknown,
2020,alaska,november,02,single victim/single offender,0,0,56,,male,,white,,not hispanic,
2020,alaska,july,02,single victim/single offender,0,0,43,,male,,american indian or alaskan native,,not hispanic,
2020,alaska,june,02,single victim/single offender,0,0,37,,male,,american indian or alaskan native,,not hispanic,
2020,alaska,january,02,single victim/single offender,0,0,24,,female,,american indian or alaskan native,,not hispanic,
2020,alaska,march,02,single victim/unknown offender(s),0,0,30,,female,,american indian or alaskan native,,not hispanic,
2020,alaska,november,02,single victim/single offender,0,0,33,,male,,asian,,not hispanic,
2020,alaska,november,02,single victim/single offender,0,0,15,,male,,american indian or alaskan native,,not hispanic,
2020,alaska,february,02,single victim/single offender,0,0,51,,female,,white,,unknown,
2020,alaska,january,,multiple victims/single offender,1,0,71,70,male,female,white,white,unknown,unknown
2020,alaska,july,,single victim/single offender,0,0,25,,male,,american indian or alaskan native,,unknown,
2020,alaska,july,,single victim/single offender,0,0,39,,male,,american indian or alaskan native,,unknown,
2020,alaska,november,,multiple victims/single offender,3,0,10,43,female,female,american indian or alaskan native,american indian or alaskan native,unknown,unknown
2020,alaska,october,,single victim/single offender,0,0,7 days to 364 days,,male,,american indian or alaskan native,,unknown,
2020,alaska,october,,single victim/single offender,0,0,35,,male,,white,,unknown,
2020,alaska,september,,single victim/single offender,0,0,57,,male,,white,,unknown,
2020,alaska,september,,single victim/single offender,0,0,72,,male,,american indian or alaskan native,,unknown,
2020,alaska,august,,single victim/single offender,0,0,12,,male,,white,,unknown,
2020,alaska,august,,single victim/single offender,0,0,61,,male,,white,,unknown,
2020,alaska,august,,single victim/single offender,0,0,25,,female,,american indian or alaskan native,,unknown,
2020,alaska,april,,single victim/single offender,0,0,50,,male,,white,,unknown,
2020,alaska,june,,single victim/single offender,0,0,31,,female,,american indian or alaskan native,,unknown,
2020,alaska,june,,single victim/multiple offenders,0,1,40,,male,,white,,unknown,
2020,alaska,june,,single victim/single offender,0,0,45,,male,,american indian or alaskan native,,unknown,
2020,alaska,june,,single victim/single offender,0,0,50,,female,,american indian or alaskan native,,unknown,
2020,alaska,march,,single victim/single offender,0,0,10,,female,,american indian or alaskan native,,unknown,
2020,alaska,march,,single victim/single offender,0,0,31,,female,,white,,unknown,
2020,alaska,february,,single victim/single offender,0,0,37,,male,,american indian or alaskan native,,unknown,
2020,alabama,july,01,single victim/multiple offenders,0,2,08,,male,,black,,not hispanic,
2020,alabama,september,01,multiple victims/single offender,1,0,08,11,female,male,black,black,not hispanic,not hispanic
2020,alabama,february,01,single victim/single offender,0,0,41,,female,,black,,not hispanic,
2020,alabama,may,01,single victim/single offender,0,0,31,,male,,white,,not hispanic,
2020,alabama,may,01,single victim/single offender,0,0,25,,male,,asian,,not hispanic,
2020,alabama,january,01,single victim/single offender,0,0,28,,male,,black,,not hispanic,
2020,alabama,february,01,single victim/single offender,0,0,34,,male,,white,,not hispanic,
2020,alabama,april,01,single victim/unknown offender(s),0,0,72,,male,,white,,,
2020,alabama,may,01,single victim/single offender,0,0,52,,male,,black,,not hispanic,
2020,alabama,may,01,single victim/single offender,0,0,33,,male,,black,,not hispanic,
2020,alabama,march,01,single victim/unknown offender(s),0,0,73,,male,,black,,not hispanic,
2020,alabama,january,01,single victim/unknown offender(s),0,0,65,,male,,white,,,
2020,alabama,april,01,single victim/multiple offenders,0,1,30,,male,,black,,not hispanic,
2020,alabama,april,01,single victim/single offender,0,0,36,,male,,white,,not hispanic,
2020,alabama,may,01,single victim/single offender,0,0,61,,female,,white,,not hispanic,
2020,alabama,january,01,single victim/multiple offenders,0,1,39,,female,,white,,not hispanic,
2020,alabama,march,01,single victim/unknown offender(s),0,0,60,,male,,white,,not hispanic,
2020,alabama,march,01,single victim/single offender,0,0,91,,male,,black,,,
2020,alabama,april,01,multiple victims/multiple offenders,1,1,61,65,male,female,white,white,not hispanic,not hispanic
2020,alabama,march,01,multiple victims/single offender,1,0,50,53,female,male,white,white,not hispanic,not hispanic
2020,alabama,february,01,single victim/single offender,0,0,51,,female,,white,,not hispanic,
2020,arkansas,july,05,single victim/unknown offender(s),0,0,47,,male,,black,,not hispanic,
2020,arkansas,june,05,single victim/single offender,0,0,56,,male,,black,,unknown,
2020,arkansas,august,05,single victim/single offender,0,0,53,,female,,black,,not hispanic,
2020,arkansas,january,05,single victim/multiple offenders,0,2,17,,male,,black,,not hispanic,
2020,arkansas,august,05,single victim/single offender,0,0,28,,male,,black,,not hispanic,
2020,arkansas,march,05,multiple victims/single offender,1,0,36,25,male,male,white,white,not hispanic,not hispanic
2020,arkansas,december,05,single victim/multiple offenders,0,3,35,,male,,white,,not hispanic,
2020,arkansas,october,05,single victim/single offender,0,0,41,,male,,white,,not hispanic,
2020,arkansas,december,05,single victim/multiple offenders,0,3,35,,male,,white,,not hispanic,
2020,arkansas,may,05,single victim/single offender,0,0,67,,male,,white,,not hispanic,
2020,arkansas,february,05,single victim/multiple offenders,0,3,23,,male,,black,,not hispanic,
2020,arkansas,january,05,single victim/single offender,0,0,21,,male,,white,,hispanic,
2020,arkansas,january,05,single victim/multiple offenders,0,1,49,,female,,white,,unknown,
2020,arkansas,august,05,single victim/multiple offenders,0,1,63,,male,,unknown,,not hispanic,
2020,arkansas,february,05,multiple victims/single offender,1,0,16,39,male,female,white,white,not hispanic,not hispanic
2020,arkansas,june,05,single victim/single offender,0,0,40,,male,,black,,not hispanic,
2020,arkansas,january,05,single victim/single offender,0,0,41,,female,,white,,unknown,
2020,arkansas,november,05,multiple victims/single offender,1,0,41,42,male,female,white,white,not hispanic,unknown
2020,arkansas,july,05,single victim/single offender,0,0,56,,female,,white,,not hispanic,
2020,arkansas,november,05,single victim/single offender,0,0,33,,male,,black,,unknown,
2020,arkansas,june,05,single victim/single offender,0,0,40,,male,,black,,not hispanic,
2020,arkansas,november,05,single victim/multiple offenders,0,2,41,,female,,white,,not hispanic,
2020,arkansas,march,05,single victim/single offender,0,0,34,,male,,white,,not hispanic,
2020,arkansas,october,05,single victim/single offender,0,0,32,,female,,black,,not hispanic,
2020,arkansas,may,05,single victim/single offender,0,0,37,,male,,black,,not hispanic,
2020,arkansas,february,05,single victim/single offender,0,0,20,,female,,black,,not hispanic,
2020,arkansas,december,05,single victim/multiple offenders,0,2,16,,male,,black,,not hispanic,
2020,arkansas,august,05,multiple victims/multiple offenders,1,3,21,20,male,male,black,white,not hispanic,not hispanic
2020,arkansas,february,05,single victim/multiple offenders,0,1,01,,male,,black,,not hispanic,
2020,arkansas,october,05,single victim/multiple offenders,0,2,22,,female,,white,,not hispanic,
2020,arkansas,october,05,single victim/single offender,0,0,40,,male,,black,,not hispanic,
2020,arkansas,july,05,single victim/single offender,0,0,49,,male,,white,,hispanic,
2020,arkansas,july,05,single victim/single offender,0,0,57,,female,,white,,not hispanic,
2020,arkansas,april,05,single victim/single offender,0,0,30,,male,,black,,not hispanic,
2020,arkansas,april,05,single victim/single offender,0,0,39,,male,,white,,unknown,
2020,arkansas,january,05,single victim/single offender,0,0,78,,male,,white,,not hispanic,
2020,arkansas,january,05,multiple victims/multiple offenders,1,1,21,22,male,male,black,black,not hispanic,not hispanic
2020,arkansas,december,05,single victim/single offender,0,0,37,,male,,white,,not hispanic,
2020,arkansas,august,05,single victim/single offender,0,0,57,,male,,white,,not hispanic,
2020,arkansas,march,05,single victim/single offender,0,0,63,,female,,white,,not hispanic,
2020,arkansas,november,05,single victim/single offender,0,0,55,,male,,black,,not hispanic,
2020,arkansas,june,05,multiple victims/multiple offenders,1,1,31,29,female,male,black,black,not hispanic,not hispanic
2020,arkansas,june,05,single victim/single offender,0,0,17,,male,,black,,not hispanic,
2020,arkansas,may,05,single victim/single offender,0,0,56,,male,,black,,not hispanic,
2020,arkansas,february,05,single victim/single offender,0,0,25,,male,,black,,not hispanic,
2020,arkansas,september,05,single victim/single offender,0,0,36,,male,,black,,not hispanic,
2020,arkansas,september,05,single victim/unknown offender(s),0,0,58,,female,,black,,not hispanic,
2020,arkansas,july,05,single victim/single offender,0,0,24,,male,,black,,not hispanic,
2020,arkansas,june,05,single victim/single offender,0,0,28,,male,,black,,not hispanic,
2020,arkansas,december,05,single victim/unknown offender(s),0,0,unknown,,male,,black,,not hispanic,
2020,arkansas,november,05,single victim/single offender,0,0,61,,male,,black,,not hispanic,
2020,arkansas,march,05,single victim/single offender,0,0,34,,female,,black,,unknown,
2020,arkansas,july,05,multiple victims/unknown offender(s),1,0,64,49,female,male,white,white,not hispanic,not hispanic
2020,arkansas,march,05,single victim/single offender,0,0,28,,male,,white,,not hispanic,
2020,arkansas,april,05,single victim/multiple offenders,0,1,20,,male,,black,,not hispanic,
2020,arkansas,december,05,single victim/single offender,0,0,38,,female,,white,,not hispanic,
2020,arkansas,december,05,single victim/single offender,0,0,01,,female,,black,,not hispanic,
2020,arkansas,june,05,single victim/multiple offenders,0,1,80,,male,,white,,not hispanic,
2020,arkansas,november,05,single victim/multiple offenders,0,1,54,,female,,white,,not hispanic,
2020,arkansas,october,05,multiple victims/multiple offenders,1,1,19,20,male,female,white,white,not hispanic,not hispanic
2020,arkansas,april,05,single victim/unknown offender(s),0,0,77,,male,,white,,not hispanic,
2020,arkansas,december,05,single victim/unknown offender(s),0,0,25,,male,,unknown,,not hispanic,
2020,arkansas,april,05,single victim/single offender,0,0,25,,male,,black,,,
2020,arkansas,october,05,single victim/unknown offender(s),0,0,48,,male,,white,,,
2020,arkansas,july,05,single victim/unknown offender(s),0,0,45,,male,,white,,,
2020,arkansas,july,05,single victim/unknown offender(s),0,0,50,,female,,white,,,
2020,arkansas,july,05,single victim/single offender,0,0,23,,male,,black,,,
2020,arkansas,november,05,single victim/single offender,0,0,43,,male,,white,,,
2020,arkansas,september,05,single victim/unknown offender(s),0,0,25,,male,,black,,,
2020,arkansas,august,05,single victim/unknown offender(s),0,0,20,,male,,white,,,
2020,arkansas,march,05,single victim/multiple offenders,0,1,20,,male,,black,,,
2020,arkansas,march,05,single victim/multiple offenders,0,1,33,,male,,white,,,
2020,arkansas,april,05,single victim/single offender,0,0,43,,male,,white,,,
2020,arkansas,august,05,single victim/single offender,0,0,11,,male,,white,,not hispanic,
2020,arkansas,october,05,single victim/single offender,0,0,29,,male,,white,,not hispanic,
