YEAR,STATEFIP,male,race_new,age_group,murder.sum,PERWT.sum,murder_rate
2019,1,Female,White,0-5,0,95904,0
2019,1,Female,White,6-10,0,80860,0
2019,1,Female,White,11-15,0,91529,0
2019,1,Female,White,16-20,0,91854,0
2019,1,Female,White,21-25,0,90658,0
2019,1,Female,White,26-30,0,103316,0
2019,1,Female,White,31-35,0,92382,0
2019,1,Female,White,36-40,0,94241,0
2019,1,Female,White,41-45,0,97239,0
2019,1,Female,White,46-50,0,106771,0
2019,1,Female,White,51-55,0,108769,0
2019,1,Female,White,56-60,0,121467,0
2019,1,Female,White,61-65,0,115089,0
2019,1,Female,White,Over 65,0,340156,0
2019,1,Female,Black,0-5,0,47018,0
2019,1,Female,Black,6-10,0,44330,0
2019,1,Female,Black,11-15,0,41106,0
2019,1,Female,Black,16-20,0,51240,0
2019,1,Female,Black,21-25,0,54649,0
2019,1,Female,Black,26-30,0,46937,0
2019,1,Female,Black,31-35,0,45950,0
2019,1,Female,Black,36-40,0,47891,0
2019,1,Female,Black,41-45,0,48880,0
2019,1,Female,Black,46-50,0,40904,0
2019,1,Female,Black,51-55,0,42836,0
2019,1,Female,Black,56-60,0,47166,0
2019,1,Female,Black,61-65,0,42094,0
2019,1,Female,Black,Over 65,0,93349,0
2019,1,Female,Asian/PI,0-5,0,2464,0
2019,1,Female,Asian/PI,6-10,0,2280,0
2019,1,Female,Asian/PI,11-15,0,1586,0
2019,1,Female,Asian/PI,16-20,0,1943,0
2019,1,Female,Asian/PI,21-25,0,1660,0
2019,1,Female,Asian/PI,26-30,0,2589,0
2019,1,Female,Asian/PI,31-35,0,3679,0
2019,1,Female,Asian/PI,36-40,0,2564,0
2019,1,Female,Asian/PI,41-45,0,4242,0
2019,1,Female,Asian/PI,46-50,0,1811,0
2019,1,Female,Asian/PI,51-55,0,3832,0
2019,1,Female,Asian/PI,56-60,0,1746,0
2019,1,Female,Asian/PI,61-65,0,1092,0
2019,1,Female,Asian/PI,Over 65,0,5480,0
2019,1,Female,Hispanic,0-5,0,14611,0
2019,1,Female,Hispanic,6-10,0,12249,0
2019,1,Female,Hispanic,11-15,0,12874,0
2019,1,Female,Hispanic,16-20,0,9870,0
2019,1,Female,Hispanic,21-25,0,7974,0
