,Gender,Victim_Race,Victim_Age,Incident_Month,Inc_YR,Week_day,Precipitating_event,Victim_Offender_Relationship_1,date,County
0,Female,Hispanic,19,2.0,2018.0,Monday,All instances where facts provided do not permit determination of circumstances (skeletal remains),Other known to Victim,2018-02-12 00:00:00,Alameda County
1,Male,Unkown,38,3.0,2018.0,Sunday,All instances where facts provided do not permit determination of circumstances (skeletal remains),Unable to determine relationship,2018-03-18 00:00:00,Alameda County
2,Male,Hispanic,34,6.0,2018.0,Thursday,All instances where facts provided do not permit determination of circumstances (skeletal remains),Other known to Victim,2018-06-07 00:00:00,Alameda County
3,Male,White,22,8.0,2018.0,Thursday,All instances where facts provided do not permit determination of circumstances (skeletal remains),Unable to determine relationship,2018-08-09 00:00:00,Alameda County
4,Male,Hispanic,26,9.0,2018.0,Sunday,All instances where facts provided do not permit determination of circumstances (skeletal remains),Unable to determine relationship,2018-09-09 00:00:00,Alameda County
5,Male,Black,43,10.0,2018.0,Sunday,Robbery,Acquaintance,2018-10-14 00:00:00,Alameda County
6,Female,Hispanic,23,12.0,2018.0,Monday,"Other not specified (kidnapping, murder for hire)",Unable to determine relationship,2018-12-31 00:00:00,Alameda County
7,Female,Other Asian,61,4.0,2018.0,Tuesday,Robbery,Stranger,2018-04-10 00:00:00,Alameda County
8,Male,Hispanic,23,4.0,2018.0,Sunday,All instances where facts provided do not permit determination of circumstances (skeletal remains),Stranger,2018-04-29 00:00:00,Alameda County
9,Male,Black,30,5.0,2018.0,Wednesday,All instances where facts provided do not permit determination of circumstances (skeletal remains),Unable to determine relationship,2018-05-16 00:00:00,Alameda County
10,Male,Black,17,12.0,2018.0,Tuesday,Robbery,Other known to Victim,2018-12-04 00:00:00,Alameda County
11,Female,White,49,2.0,2018.0,Saturday,Domestic Violence (1992) (Revised June 2023),Wife,2018-02-17 00:00:00,Alameda County
12,Male,Hispanic,41,9.0,2018.0,Sunday,Drive-by Shooting (unspecified) (1996),Unable to determine relationship,2018-09-02 00:00:00,Alameda County
13,Male,White,48,9.0,2018.0,Wednesday,Execution killing(s),Unable to determine relationship,2018-09-19 00:00:00,Alameda County
14,Male,Black,23,12.0,2018.0,Sunday,All instances where facts provided do not permit determination of circumstances (skeletal remains),Other known to Victim,2018-12-02 00:00:00,Alameda County
15,Male,Black,38,3.0,2018.0,Friday,Robbery,Stranger,2018-03-23 00:00:00,Alameda County
16,Female,Hispanic,38,1.0,2018.0,Monday,Domestic Violence (1992) (Revised June 2023),Wife,2018-01-01 00:00:00,Alameda County
17,Male,Black,36,1.0,2018.0,Monday,Other arguments (revenge),Stranger,2018-01-01 00:00:00,Alameda County
18,Male,Other,58,1.0,2018.0,Monday,Other arguments (revenge),Stranger,2018-01-08 00:00:00,Alameda County
19,Male,Other Asian,44,1.0,2018.0,Friday,Other arguments (revenge),Stranger,2018-01-26 00:00:00,Alameda County
20,Male,Black,27,1.0,2018.0,Wednesday,All instances where facts provided do not permit determination of circumstances (skeletal remains),Unable to determine relationship,2018-01-31 00:00:00,Alameda County
21,Male,Black,27,2.0,2018.0,Saturday,All instances where facts provided do not permit determination of circumstances (skeletal remains),Stranger,2018-02-03 00:00:00,Alameda County
22,Male,Black,17,2.0,2018.0,Tuesday,All instances where facts provided do not permit determination of circumstances (skeletal remains),Unable to determine relationship,2018-02-06 00:00:00,Alameda County
23,Female,Black,27,2.0,2018.0,Tuesday,All instances where facts provided do not permit determination of circumstances (skeletal remains),Unable to determine relationship,2018-02-06 00:00:00,Alameda County
24,Male,Black,25,2.0,2018.0,Thursday,Other arguments (revenge),Other known to Victim,2018-02-08 00:00:00,Alameda County
25,Male,Black,34,2.0,2018.0,Friday,All instances where facts provided do not permit determination of circumstances (skeletal remains),Unable to determine relationship,2018-02-09 00:00:00,Alameda County
26,Female,Hawaiian,73,2.0,2018.0,Sunday,Domestic Violence (1992) (Revised June 2023),Wife,2018-02-11 00:00:00,Alameda County
27,Female,Black,43,2.0,2018.0,Monday,Other arguments (revenge),Acquaintance,2018-02-12 00:00:00,Alameda County
28,Male,Hispanic,62,3.0,2018.0,Friday,All instances where facts provided do not permit determination of circumstances (skeletal remains),Unable to determine relationship,2018-03-30 00:00:00,Alameda County
29,Male,Black,28,3.0,2018.0,Monday,Narcotic drug laws (not overdose),Unable to determine relationship,2018-03-12 00:00:00,Alameda County
30,Female,Black,24,3.0,2018.0,Thursday,Domestic Violence (1992) (Revised June 2023), Girlfriend/Ex-Girlfriend,2018-03-15 00:00:00,Alameda County
